Question,Option_1,Option_2,Option_3,Option_4,Correct_Answer,Difficulty
What is the largest planet in our solar system?,Earth,Jupiter,Saturn,Mars,Jupiter,3
Who wrote 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,William Shakespeare,2
What is the chemical symbol for water?,O2,CO2,H2,H2O,H2O,1
In what year did the Titanic sink?,1923,1898,1905,1912,1912,4
What is the hardest natural substance on Earth?,Iron,Gold,Platinum,Diamond,Diamond,3
Which element has the atomic number 1?,Hydrogen,Helium,Oxygen,Carbon,Hydrogen,2
What is the capital of Japan?,Seoul,Beijing,Bangkok,Tokyo,Tokyo,2
Who painted the Mona Lisa?,Pablo Picasso,Leonardo da Vinci,Vincent van Gogh,Claude Monet,Leonardo da Vinci,3
What is the smallest country in the world?,Liechtenstein,Vatican City,Monaco,San Marino,Vatican City,4
Which planet is known as the Red Planet?,Mars,Saturn,Venus,Jupiter,Mars,2
What is the largest ocean on Earth?,Arctic Ocean,Indian Ocean,Pacific Ocean,Atlantic Ocean,Pacific Ocean,2
How many continents are there?,7,6,5,8,7,1
Who was the first President of the United States?,Thomas Jefferson,George Washington,John Adams,Abraham Lincoln,George Washington,2
What is the chemical symbol for Gold?,Au,Ag,Pb,Fe,Au,4
What is the longest river in the world?,Nile River,Yangtze River,Mississippi River,Amazon River,Nile River,3
Which country is home to the kangaroo?,New Zealand,South Africa,Australia,Brazil,Australia,1
What is the main ingredient in guacamole?,Avocado,Onion,Pepper,Tomato,Avocado,1
Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Isaac Newton,Alexander Fleming,5
What is the capital of Canada?,Montreal,Toronto,Vancouver,Ottawa,Ottawa,4
How many colors are in a rainbow?,6,7,8,5,7,1
What is the largest mammal in the world?,Elephant,Giraffe,Hippopotamus,Blue Whale,Blue Whale,2
Who wrote 'To Kill a Mockingbird'?,F. Scott Fitzgerald,J.K. Rowling,Ernest Hemingway,Harper Lee,Harper Lee,4
What is the chemical symbol for Oxygen?,O,Ox,O2,On,O,1
Which planet is closest to the sun?,Earth,Venus,Mars,Mercury,Mercury,2
What is the tallest mountain in the world?,Mount Everest,Mount Kilimanjaro,Mount Fuji,K2,Mount Everest,2
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Guglielmo Marconi,Nikola Tesla,Alexander Graham Bell,3
What is the capital of Australia?,Sydney,Melbourne,Brisbane,Canberra,Canberra,4
What is the largest desert in the world?,Sahara Desert,Antarctic Desert,Arabian Desert,Gobi Desert,Antarctic Desert,5
How many bones are in the adult human body?,206,211,201,216,206,4
Who painted the Starry Night?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Claude Monet,Vincent van Gogh,3
What is the chemical symbol for Sodium?,So,Sd,Na,N,Na,5
What is the hottest planet in our solar system?,Jupiter,Venus,Mercury,Mars,Venus,4
What is the currency of Japan?,Won,Ringgit,Yuan,Yen,Yen,2
Who wrote '1984'?,Aldous Huxley,Ray Bradbury,George Orwell,J.R.R. Tolkien,George Orwell,4
What is the capital of Brazil?,Rio de Janeiro,Brasília,São Paulo,Salvador,Brasília,4
What is the smallest bone in the human body?,Stapes,Fibula,Femur,Tibia,Stapes,6
Who was the first person to walk on the moon?,Neil Armstrong,Buzz Aldrin,Michael Collins,Yuri Gagarin,Neil Armstrong,2
What is the chemical symbol for Iron?,Ir,I,Fe,In,Fe,3
What is the largest country by area?,Canada,Russia,China,United States,Russia,2
Which is the longest bone in the human body?,Radius,Tibia,Femur,Humerus,Femur,4
Who discovered gravity?,Isaac Newton,Albert Einstein,Johannes Kepler,Galileo Galilei,Isaac Newton,2
What is the capital of Italy?,Florence,Milan,Venice,Rome,Rome,1
What is the currency of the United Kingdom?,Dollar,Euro,Pound Sterling,Franc,Pound Sterling,2
What is the hardest rock?,Diamond,Granite,Marble,Quartz,Diamond,3
Who wrote 'Pride and Prejudice'?,Mary Shelley,Charlotte Brontë,Jane Austen,Emily Brontë,Jane Austen,4
What is the chemical symbol for Carbon?,Cr,C,Ca,Co,C,1
Which planet has the most moons?,Saturn,Neptune,Jupiter,Uranus,Saturn,6
What is the speed of light?,400000 km/s,150000 km/s,200000 km/s,300000 km/s,300000 km/s,5
Who painted the Sistine Chapel ceiling?,Leonardo da Vinci,Michelangelo,Raphael,Donatello,Michelangelo,4
What is the capital of Spain?,Madrid,Valencia,Seville,Barcelona,Madrid,2
What is the largest organ in the human body?,Liver,Brain,Heart,Skin,Skin,3
Which is the most abundant gas in the Earth's atmosphere?,Nitrogen,Carbon Dioxide,Oxygen,Hydrogen,Nitrogen,4
Who wrote 'Hamlet'?,William Shakespeare,Mark Twain,Jane Austen,Charles Dickens,William Shakespeare,2
What is the chemical symbol for Silver?,Si,Sv,S,Ag,Ag,4
What is the capital of Germany?,Berlin,Frankfurt,Hamburg,Munich,Berlin,2
What is the currency of Switzerland?,Euro,Swiss Franc,Dollar,Pound,Swiss Franc,3
Who was the first female Prime Minister of the UK?,Theresa May,Indira Gandhi,Angela Merkel,Margaret Thatcher,Margaret Thatcher,4
What is the capital of Russia?,St. Petersburg,Kiev,Moscow,Minsk,Moscow,2
What is the chemical symbol for Potassium?,Pt,K,P,Po,K,6
What is the deepest part of the ocean?,Mariana Trench,Puerto Rico Trench,Java Trench,Tonga Trench,Mariana Trench,5
Who wrote 'The Great Gatsby'?,William Faulkner,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,F. Scott Fitzgerald,4
What is the capital of India?,Kolkata,Mumbai,New Delhi,Chennai,New Delhi,2
What is the currency of India?,Baht,Rupiah,Ringgit,Rupee,Rupee,2
Who developed the theory of relativity?,Albert Einstein,Niels Bohr,Stephen Hawking,Isaac Newton,Albert Einstein,3
What is the capital of China?,Hong Kong,Shanghai,Beijing,Guangzhou,Beijing,2
What is the chemical symbol for Calcium?,Cl,C,Ca,Co,Ca,2
What is the largest bird in the world?,Albatross,Eagle,Penguin,Ostrich,Ostrich,2
Who wrote 'Moby Dick'?,Mark Twain,Herman Melville,Charles Dickens,Jules Verne,Herman Melville,4
What is the capital of Mexico?,Monterrey,Cancun,Guadalajara,Mexico City,Mexico City,1
What is the currency of Mexico?,Sol,Bolivar,Peso,Real,Peso,2
Who painted the Last Supper?,Raphael,Leonardo da Vinci,Michelangelo,Titian,Leonardo da Vinci,4
What is the capital of Argentina?,Rosario,Cordoba,Buenos Aires,Mendoza,Buenos Aires,3
What is the chemical symbol for Helium?,Hl,Hm,H,He,He,1
What is the fastest land animal?,Leopard,Cheetah,Lion,Tiger,Cheetah,2
Who wrote 'The Catcher in the Rye'?,Ernest Hemingway,J.D. Salinger,F. Scott Fitzgerald,John Steinbeck,J.D. Salinger,4
What is the capital of Egypt?,Cairo,Giza,Alexandria,Luxor,Cairo,2
What is the currency of Egypt?,Dirham,Riyal,Dinar,Egyptian Pound,Egyptian Pound,3
Who was the 16th President of the United States?,Theodore Roosevelt,George Washington,Thomas Jefferson,Abraham Lincoln,Abraham Lincoln,2
What is the capital of South Africa?,Cape Town,Pretoria,Durban,Johannesburg,Pretoria,5
What is the chemical symbol for Copper?,Cu,Cr,Co,Cp,Cu,4
What is the largest reptile in the world?,Green Anaconda,Leatherback Sea Turtle,Komodo Dragon,Saltwater Crocodile,Saltwater Crocodile,5
Who wrote 'The Odyssey'?,Sophocles,Virgil,Euripides,Homer,Homer,4
What is the capital of Greece?,Patras,Thessaloniki,Athens,Heraklion,Athens,2
What is the currency of Greece?,Drachma,Lira,Euro,Franc,Euro,2
Who discovered America in 1492?,Vasco da Gama,Amerigo Vespucci,Christopher Columbus,Ferdinand Magellan,Christopher Columbus,2
What is the capital of Turkey?,Antalya,Ankara,Istanbul,Izmir,Ankara,4
What is the chemical symbol for Lead?,Pb,Ld,Pl,Le,Pb,6
What is the tallest animal in the world?,Camel,Elephant,Giraffe,Ostrich,Giraffe,1
Who wrote 'Frankenstein'?,H.P. Lovecraft,Mary Shelley,Bram Stoker,Edgar Allan Poe,Mary Shelley,4
What is the capital of Thailand?,Chiang Mai,Phuket,Bangkok,Pattaya,Bangkok,2
What is the currency of Thailand?,Dong,Kip,Baht,Riel,Baht,3
Who painted the Girl with a Pearl Earring?,Johannes Vermeer,Rembrandt,Vincent van Gogh,Claude Monet,Johannes Vermeer,5
What is the capital of South Korea?,Seoul,Busan,Incheon,Daegu,Seoul,2
What is the chemical symbol for Zinc?,Zi,Zc,Zn,Z,Zn,3
What is the largest fish in the world?,Whale Shark,Blue Whale,Manta Ray,Great White Shark,Whale Shark,4
Who wrote 'Les Misérables'?,Gustave Flaubert,Alexandre Dumas,Emile Zola,Victor Hugo,Victor Hugo,4
What is the capital of Portugal?,Faro,Porto,Lisbon,Braga,Lisbon,2
What is the currency of Portugal?,Peseta,Euro,Franc,Escudo,Euro,2
Who was the first Emperor of Rome?,Augustus,Julius Caesar,Nero,Caligula,Augustus,5
What is the capital of Sweden?,Malmö,Gothenburg,Stockholm,Uppsala,Stockholm,3
What is the chemical symbol for Magnesium?,Mn,Mg,Ms,Ma,Mg,3
What is the longest snake in the world?,King Cobra,Green Anaconda,Boa Constrictor,Reticulated Python,Reticulated Python,5
Who wrote 'War and Peace'?,Alexander Pushkin,Leo Tolstoy,Anton Chekhov,Fyodor Dostoevsky,Leo Tolstoy,4
What is the capital of Norway?,Bergen,Oslo,Stavanger,Trondheim,Oslo,3
What is the currency of Norway?,Mark,Krone,Euro,Krona,Krone,3
Who was the first woman to win a Nobel Prize?,Florence Nightingale,Mother Teresa,Rosa Parks,Marie Curie,Marie Curie,3
What is the capital of Denmark?,Copenhagen,Aalborg,Odense,Aarhus,Copenhagen,3
What is the chemical symbol for Phosphorus?,P,Po,Ph,Pr,P,4
What is the fastest bird in the world?,Peregrine Falcon,Bald Eagle,Hummingbird,Ostrich,Peregrine Falcon,5
Who wrote 'The Hobbit'?,J.R.R. Tolkien,George R.R. Martin,C.S. Lewis,J.K. Rowling,J.R.R. Tolkien,2
What is the capital of Finland?,Espoo,Helsinki,Vantaa,Tampere,Helsinki,3
What is the currency of Finland?,Markka,Euro,Krona,Krone,Euro,3
Who painted the Birth of Venus?,Leonardo da Vinci,Sandro Botticelli,Michelangelo,Raphael,Sandro Botticelli,5
What is the capital of Ireland?,Galway,Cork,Limerick,Dublin,Dublin,2
What is the chemical symbol for Sulfur?,Sl,Sf,Su,S,S,2
What is the largest species of bear?,Black Bear,Grizzly Bear,Polar Bear,Brown Bear,Polar Bear,4
Who wrote 'Don Quixote'?,Jorge Luis Borges,Pablo Neruda,Gabriel Garcia Marquez,Miguel de Cervantes,Miguel de Cervantes,5
What is the capital of Poland?,Krakow,Warsaw,Wroclaw,Poznan,Warsaw,3
What is the currency of Poland?,Zloty,Koruna,Forint,Euro,Zloty,4
Who was the first man in space?,John Glenn,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Yuri Gagarin,3
What is the capital of Austria?,Innsbruck,Vienna,Graz,Salzburg,Vienna,3
What is the chemical symbol for Chlorine?,Ch,Ce,Cr,Cl,Cl,2
What is the heaviest flying bird?,Albatross,Ostrich,Kori Bustard,Emu,Kori Bustard,7
Who wrote 'The Lord of the Rings'?,J.K. Rowling,George R.R. Martin,C.S. Lewis,J.R.R. Tolkien,J.R.R. Tolkien,2
What is the capital of Hungary?,Szeged,Miskolc,Budapest,Debrecen,Budapest,3
What is the currency of Hungary?,Koruna,Forint,Euro,Zloty,Forint,5
Who painted the Guernica?,Pablo Picasso,Francisco Goya,Salvador Dali,Joan Miro,Pablo Picasso,5
What is the capital of Czech Republic?,Plzen,Brno,Prague,Ostrava,Prague,3
What is the chemical symbol for Nitrogen?,Ne,Ni,Nt,N,N,2
What is the smallest bird in the world?,Finch,Sparrow,Hummingbird,Wren,Hummingbird,2
Who wrote 'Crime and Punishment'?,Anton Chekhov,Leo Tolstoy,Fyodor Dostoevsky,Ivan Turgenev,Fyodor Dostoevsky,5
What is the capital of Romania?,Cluj-Napoca,Timisoara,Iasi,Bucharest,Bucharest,4
What is the currency of Romania?,Leva,Zloty,Euro,Leu,Leu,5
Who was the second President of the United States?,James Madison,George Washington,Thomas Jefferson,John Adams,John Adams,4
What is the capital of Bulgaria?,Plovdiv,Sofia,Varna,Burgas,Sofia,4
What is the chemical symbol for Fluorine?,F,Fr,Fl,Fo,F,3
What is the most venomous snake in the world?,King Cobra,Rattlesnake,Inland Taipan,Black Mamba,Inland Taipan,6
Who wrote 'The Divine Comedy'?,Homer,Dante Alighieri,Virgil,Geoffrey Chaucer,Dante Alighieri,5
What is the capital of Slovakia?,Kosice,Zilina,Presov,Bratislava,Bratislava,4
What is the currency of Slovakia?,Euro,Zloty,Koruna,Forint,Euro,4
Who painted The Persistence of Memory?,Pablo Picasso,Rene Magritte,Salvador Dali,Joan Miro,Salvador Dali,4
What is the capital of Croatia?,Osijek,Rijeka,Zagreb,Split,Zagreb,4
What is the chemical symbol for Neon?,N,No,Na,Ne,Ne,1
What is the largest species of shark?,Whale Shark,Tiger Shark,Hammerhead Shark,Great White Shark,Whale Shark,3
